Activité;Dénomination;Adresse complète;Commune;Code Postal;;Longitude;Latitude;;Lien_Tableau_Dynamique
Travaux de revètements des sols et des murs;ROCHETON;CS 70222 71 RUE FRANCIS DE PRESSENSE 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,873837;45,771997;;https://public.tableau.com/shared/8KGGS3ZDX?:display_count=n&:origin=viz_share_link
Travaux de peinture et vitrerie;ETABLISSEMENTS BERNOLLIN ET COMPAGNIE A; 320 PLACE DE L'EGLISE 69830 SAINT-GEORGES-DE-RENEINS;SAINT-GEORGES-DE-RENEINS;69830;;4,722915;46,062927;;
Travaux de peinture et vitrerie;ETABLISSEMENTS BERNOLLIN ET COMPAGNIE B; 366 ROUTE DU CONROY 69460 ODENAS;ODENAS;69460;;4,645656;46,101517;;
Travaux de peinture et vitrerie;PESENTI FRERES;PARC SALENGRO  RUE DE LA PERLERIE 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,929562;45,750551;;
Autres travaux de finition;FANJAT POSOTEC; 85 RUE ANDRE SENTUC 69200 VENISSIEUX;VENISSIEUX;69200;;4,869628;45,709039;;
Travaux de peinture et vitrerie;SOLYPER - SOCIETE LYONNAISE DE PEINTURE PLATRERIE ET DE RENOVATION A; 27 RUE MONTESQUIEU 69007 LYON;LYON;69007;;4,841868;45,75319;;
Travaux de peinture et vitrerie;SOLYPER - SOCIETE LYONNAISE DE PEINTURE PLATRERIE ET DE RENOVATION B; 8 RUE DU GAZOMETRE 69003 LYON;LYON;69003;;4,850582;45,75654;;
Travaux de peinture et vitrerie;ENTREPRISE HELGEN; 20 RUE NICOLAS GARNIER 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,912407;45,753746;;
Autres travaux de finition;NAIMI taieb; 23 RUE PASTEUR 69200 VENISSIEUX;VENISSIEUX;69200;;4,888935;45,694746;;
Autres travaux de finition;RAMUNNO luigi; 160 ROUTE DE GENEVE 69140 RILLIEUX-LA-PAPE;RILLIEUX-LA-PAPE;69140;;4,898434;45,807921;;
Travaux d'isolation;CHANEL SAS; 12 RUE DE L'INDUSTRIE 69200 VENISSIEUX;VENISSIEUX;69200;;4,883019;45,707707;;
Travaux de plâtrerie;EPRID; 7 RUE JAVELOT 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,913761;45,772569;;
Travaux de peinture et vitrerie;ENTREPRISE DE PEINTURE DOCAMPO; 17 RUE D'YVOURS 69540 IRIGNY;IRIGNY;69540;;4,827236;45,69115;;
Travaux de plâtrerie;RICHAUD jean-paul; 58 ROUTE DES AQUEDUCS 69630 CHAPONOST;CHAPONOST;69630;;4,770923;45,722019;;
Travaux de plâtrerie;SIMON jacques; 7 CHEMIN DE WETTE FAYS 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,856601;45,789277;;
Travaux de revètements des sols et des murs;CHAMBON pierre; 16 RUE DU TRIEVOZ 69720 SAINT-BONNET-DE-MURE;SAINT-BONNET-DE-MURE;69720;;5,020022;45,687966;;
Travaux de peinture et vitrerie;MIROITERIE DU RHONE; 15 BOULEVARD DES DROITS DE L'HOMME 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,933682;45,762503;;
Agencement de lieux de ventes;DANGOISSE jean; 131 COURS EMILE ZOLA 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,875712;45,770314;;
Travaux de peinture et vitrerie;PLATRERIE-PEINTURE GEORGES GARANDE; 16 RUE DE LA VISINA 69540 IRIGNY;IRIGNY;69540;;4,820791;45,673897;;
Travaux de plâtrerie;BASSI PERE ET FILS EN ABREGE B P F; 38 AVENUE DU BOUTAREY 69580 SATHONAY-CAMP;SATHONAY-CAMP;69580;;4,877477;45,82449;;
Travaux de peinture et vitrerie;GIRARDET; 86 RUE VICTOR CLEMENT 69240 THIZY-LES-BOURGS;THIZY-LES-BOURGS;69240;;4,314074;46,037359;;
Travaux de peinture et vitrerie;ALLO VITRERIE PARRA roger; 2 MONTEE DES FORTS 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,828777;45,793771;;
Travaux de plâtrerie;GENOUD jean-pierre; 47 RUE PHILIPPE GOY 69500 BRON;BRON;69500;;4,915429;45,72869;;
Travaux de peinture et vitrerie;ABREU francis; 86 RUE JEAN SARRAZIN 69008 LYON;LYON;69008;;4,863354;45,731022;;
Travaux de peinture et vitrerie;PRATS francois; 9 RUE GABRIEL RONGIER 69370 SAINT-DIDIER-AU-MONT-D'OR;SAINT-DIDIER-AU-MONT-D'OR;69370;;4,802671;45,807822;;
Travaux de peinture et vitrerie;MIROITERIE D ALESSANDRI; 111 CHEMIN DE WETTE FAYS 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,854259;45,788647;;
Travaux de plâtrerie;RUIZ raphael; 146 AVENUE FELIX FAURE 69003 LYON;LYON;69003;;4,865206;45,754282;;
Autres travaux de finition;SUAREZ patrick;MAISON NO 2 71 AVENUE DE BOHLEN 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,929124;45,766418;;
Travaux de peinture et vitrerie;ENTREPRISE MESONA; 158 AVENUE FRANCIS DE PRESSENSE 69200 VENISSIEUX;VENISSIEUX;69200;;4,8675;45,72047;;
Travaux de peinture et vitrerie;SARL ROBERT; 89 RUE DES MISSIONNAIRES 69560 SAINTE-COLOMBE;SAINTE-COLOMBE;69560;;4,86591;45,526654;;
Autres travaux de finition;LONCHAMBON claude; 11 RUE EUGENE VILLON 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,853002;45,807026;;
Travaux de peinture et vitrerie;MAILLOT alain; 21 ALLEE DES CERISIERS 69590 LARAJASSE;LARAJASSE;69590;;4,501229;45,61438;;
Travaux de peinture et vitrerie;LECLERCQ jean;RESIENCE MARIUS BERTRAND 14 RUE HERMANN SABRAN 69004 LYON;LYON;69004;;4,823132;45,784217;;
Autres travaux de finition;PISK bruno; 540 RUE NATIONALE 69400 VILLEFRANCHE-SUR-SAONE;VILLEFRANCHE-SUR-SAONE;69400;;4,718588;45,990485;;
Autres travaux de finition;GUEUGUE paul; 5 IMPASSE DES EGLANTINES 69330 JONAGE;JONAGE;69330;;5,043671;45,797711;;
Travaux de plâtrerie;ENTREPRISE BONGLET; 16 RUE JACQUARD 69680 CHASSIEU;CHASSIEU;69680;;4,967499;45,728809;;
Agencement de lieux de ventes;GONTARD daniel; 15 COURS LAFAYETTE 69006 LYON;LYON;69006;;4,843636;45,763682;;
Travaux de revètements des sols et des murs;PARQUETSOL;ZI LE CAILLOU 5 RUE JULES VERNE 69630 CHAPONOST;CHAPONOST;69630;;4,764068;45,70057;;
Travaux de plâtrerie;ENTREPRISE GROS; 26 RUE LOUIS GUERIN 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,860125;45,777208;;
Travaux de peinture et vitrerie;BATI; 16 RUE JACQUARD 69680 CHASSIEU;CHASSIEU;69680;;4,967499;45,728809;;
Travaux de peinture et vitrerie;PATIN gilles;ALLEE 3 10 RUE DE VERDUN 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,840616;45,783416;;
Travaux de plâtrerie;BOUCHET didier; 13 RUE DU PUITS 69720 SAINT-LAURENT-DE-MURE;SAINT-LAURENT-DE-MURE;69720;;5,041299;45,690847;;
Travaux de revètements des sols et des murs;RHONIBAT; 6 BOULEVARD ANDRE LASSAGNE 69530 BRIGNAIS;BRIGNAIS;69530;;4,754278;45,666524;;
Travaux de revètements des sols et des murs;MARCON jean;LES FOUILLOUSES 131 ROUTE DE CHARLY 69230 SAINT-GENIS-LAVAL;SAINT-GENIS-LAVAL;69230;;4,792746;45,677762;;
Travaux de peinture et vitrerie;LACARRAU francois;  ALLEE DU BOIS 69260 CHARBONNIERES-LES-BAINS;CHARBONNIERES-LES-BAINS;69260;;4,741451;45,771864;;
Travaux de peinture et vitrerie;ETABLISSEMENTS GARCIA; 1 IMPASSE CHRISTOPHE COLOMB 69780 MIONS;MIONS;69780;;4,945214;45,682197;;
Travaux de peinture et vitrerie;RICHET jacques; 35 RUE JOLIOT CURIE 69005 LYON;LYON;69005;;4,793065;45,756253;;
Travaux de peinture et vitrerie;STASI rolland; 8 CHEMIN DU RENONCEAU 69780 SAINT-PIERRE-DE-CHANDIEU;SAINT-PIERRE-DE-CHANDIEU;69780;;4,990421;45,637501;;
Travaux de revètements des sols et des murs;SOLS REALISATION; 10 IMPASSE LOUIS SAILLANT 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,937512;45,774006;;
Travaux de plâtrerie;PLATRERIE PEINTURE NS DA SILVA A; 17 RUE CLAUDE VIOLET 69008 LYON;LYON;69008;;4,878683;45,73223;;
Travaux de plâtrerie;PLATRERIE PEINTURE NS DA SILVA B; 15 RUE CLAUDE VIOLET 69008 LYON;LYON;69008;;4,878779;45,732329;;
Travaux de plâtrerie;FOURNIER FRERES; 34 RUE TETE D'OR 69006 LYON;LYON;69006;;4,852091;45,770381;;
Travaux de peinture et vitrerie;ARRAGON maurice; 199 ROUTE DE BEAUJEU 69220 SAINT-LAGER;SAINT-LAGER;69220;;4,673882;46,119581;;
Travaux de plâtrerie;GUICHARD michel; 8 RUE LOUIS 69003 LYON;LYON;69003;;4,887596;45,753681;;
Travaux de peinture et vitrerie;MOISAN gerard; 52 RUE DE L'EFFORT 69007 LYON;LYON;69007;;4,836486;45,729505;;
Autres travaux de finition;ROSSINI patrick; 6 RUE MARCEL ACHARD 69110 SAINTE-FOY-LES-LYON;SAINTE-FOY-LES-LYON;69110;;4,808869;45,748575;;
Travaux de revètements des sols et des murs;BECQUET michel; 16 ROUTE NATIONALE 69330 PUSIGNAN;PUSIGNAN;69330;;5,053269;45,760204;;
Travaux de peinture et vitrerie;PATRU ENTREPRISE DE BATIMENT; 116 ROUTE DE PARIS 69260 CHARBONNIERES-LES-BAINS;CHARBONNIERES-LES-BAINS;69260;;4,752332;45,774275;;
Travaux de plâtrerie;GARCIAS jean-marc; 254 RUE VENDOME 69003 LYON;LYON;69003;;4,847126;45,757263;;
Travaux de plâtrerie;ENTREPRISE SEGAUD;ZONE ARTISANALE DE VILLENEUVE 149 ROUTE DE CHAMPAGNE 69220 TAPONAS;TAPONAS;69220;;4,76419;46,132628;;
Travaux de plâtrerie;ALVES antonio; 1 AVENUE EDOUARD MILLAUD 69290 CRAPONNE;CRAPONNE;69290;;4,747447;45,747281;;
Travaux de plâtrerie;ALVES jose; 10 ALLEE DES TERRASSES 69140 RILLIEUX-LA-PAPE;RILLIEUX-LA-PAPE;69140;;4,884409;45,810396;;
Travaux de peinture et vitrerie;PERRIER christian; 1 RUE FAILLEBIN 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,894882;45,764828;;
Travaux de revètements des sols et des murs;BOUCHER francois; 36 RUE FRANCOIS PEISSEL 69300 CALUIRE-ET-CUIRE;CALUIRE-ET-CUIRE;69300;;4,84054;45,794193;;
Travaux de peinture et vitrerie;AOUF kamel; 24 RUE LEON BLUM 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,89264;45,759546;;
Travaux de plâtrerie;A T S ROIRON; 19 RUE MAUVERT 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,877666;45,773616;;
Travaux de plâtrerie;RIAHI mohamed; 3 RUE D'ALSACE 69190 SAINT-FONS;SAINT-FONS;69190;;4,864534;45,701714;;
Travaux de revètements des sols et des murs;LOUVIGNY jean-louis; 96 CHEMIN DE MONTRAY 69110 SAINTE-FOY-LES-LYON;SAINTE-FOY-LES-LYON;69110;;4,792507;45,730751;;
